generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
2280000,9,2.25592,-795.888,10.5443,2.00895,0.408
2290000,5,-2.47236,-796.393,3.31753,2.14666,0.431
2300000,4,1.37777,-798.367,4.82288,2.09695,0.412
2310000,1,-1.22359,-814.152,3.40426,2.02808,0.333
2320000,5,-1.18479,-802.175,3.63142,2.30932,0.425
2330000,4,0.264286,-803.93,3.67125,2.04291,0.43
2340000,5,0.341825,-793.352,6.89209,1.96631,0.38
2350000,4,-2.55677,-801.999,3.81077,1.99193,0.428
2360000,4,-0.0381472,-805.647,5.41658,2.21318,0.384
2370000,3,-4.89204,-806.516,1.97727,2.08832,0.381
2380000,3,1.50115,-797.796,2.9198,2.01858,0.391062
2390000,5,-5.17534,-798.042,9.91595,2.06401,0.429
2400000,4,-4.55172,-801.483,2.87927,2.14555,0.399
2410000,6,-1.53289,-797.012,6.62802,1.98162,0.4196
2420000,7,-2.49697,-795.347,5.48483,2.05305,0.437
2430000,5,-1.88499,-805.834,4.95779,2.0501,0.4132
2440000,5,3.31778,-794.885,2.409,2.13508,0.4072
2450000,5,-6.73064,-793,7.61736,2.12665,0.401
2460000,7,-0.157283,-795.943,6.0976,2.07948,0.437
2470000,3,-4.18281,-806.783,3.42779,2.05439,0.415214
2480000,4,0.802545,-805.602,5.94271,2.02234,0.414
2490000,4,0.642333,-798.967,4.10183,2.08663,0.39
2500000,3,-2.46376,-804.016,1.0483,2.07292,0.396
2510000,4,1.82906,-808.855,4.39817,1.99863,0.425
2520000,4,-0.296333,-805.069,4.33799,1.91183,0.411
2530000,5,-3.48961,-807.728,5.71136,2.04626,0.418571
2540000,6,1.85987,-796.701,5.00676,2.06648,0.397
2550000,4,-3.21611,-797.91,8.84829,2.07043,0.402
2560000,4,-0.290236,-800.07,2.56456,2.09947,0.415
2570000,5,-1.04737,-798.317,8.29182,2.06917,0.377
2580000,6,-0.654252,-797.243,8.57991,2.07003,0.417
2590000,3,-4.48977,-808.064,4.8486,2.02397,0.406125
2600000,1,-3.16897,-814.684,0.607457,2.01008,0.344
2610000,2,-1.17039,-807.749,5.09672,2.04559,0.364
2620000,5,-1.39273,-794.882,6.36894,2.07421,0.411824
2630000,3,-2.28548,-806.365,3.4978,2.11639,0.417
2640000,3,-1.08373,-801.347,2.69598,2.12483,0.405
2650000,4,-0.258753,-802.207,7.96977,2.04202,0.445
2660000,2,-2.45666,-812.967,5.71056,2.20352,0.406
2670000,3,-1.39583,-807.695,2.5133,1.9597,0.3955
2680000,7,-1.6559,-797.517,6.95038,2.04108,0.38325
2690000,2,-0.2298,-808.9,1.84529,2.07608,0.434
2700000,1,-1.12376,-811.626,1.02246,2.00057,0.406333
2710000,2,-2.02196,-807.252,2.05401,2.10628,0.4002
2720000,4,-5.82644,-795.036,7.76118,2.16721,0.409
2730000,2,-0.848333,-811.873,3.01745,2.00895,0.34
2740000,4,0.057447,-797.572,5.44897,2.18913,0.39675
2750000,3,-0.847704,-800.996,2.7633,2.01047,0.399
2760000,5,-1.16841,-799.866,2.14455,2.02577,0.419
2770000,5,-0.583513,-797.342,13.4976,2.11726,0.415455
2780000,6,3.9351,-801.374,5.12652,2.10718,0.427889
2790000,4,1.44427,-798.295,2.06894,2.02178,0.416
2800000,5,-0.575117,-795.681,9.45967,2.1138,0.424
2810000,3,-4.76641,-805.942,3.37602,2.08492,0.399
2820000,4,-0.501524,-801.079,4.31022,2.1201,0.416
2830000,2,-1.04965,-809.164,1.23842,2.07788,0.39275
2840000,1,-1.6402,-820.307,1.38764,2.12733,0.362552
2850000,6,2.63282,-797.532,8.18536,2.15029,0.368
2860000,4,-1.72054,-796.043,2.31276,2.1578,0.416
2870000,4,1.09857,-802.534,4.27679,2.148,0.383
2880000,3,1.57139,-804.024,4.8905,1.96307,0.403091
2890000,4,1.59623,-802.292,8.51723,2.22879,0.416
2900000,5,-2.16131,-801.043,1.87434,2.12777,0.389857
2910000,6,-2.94549,-795.212,4.76932,2.07776,0.408
2920000,4,-5.33959,-796.481,3.88542,2.07683,0.41
2930000,6,-2.74485,-801.134,7.01603,2.07854,0.401176
2940000,5,-1.39382,-796.324,4.25831,2.05048,0.3835
2950000,2,-3.035,-813.124,1.79546,2.22571,0.342
2960000,5,0.659626,-803.164,3.94421,2.1803,0.422063
2970000,7,-0.42506,-787.128,10.2568,2.03465,0.37
2980000,3,-2.90132,-804.951,3.98101,2.08032,0.4195
2990000,4,-2.91685,-795.556,6.66641,2.12477,0.432
3000000,4,1.86634,-796.145,4.103,2.11341,0.432
3010000,4,-1.2168,-799.3,4.57597,2.03817,0.43
3020000,6,3.8452,-792.829,9.30794,2.08452,0.4115
3030000,3,-1.25561,-803.895,5.42848,1.99549,0.4075
3040000,5,-0.38808,-796.977,8.05204,2.09636,0.456
3050000,5,-0.862523,-801.031,5.74588,2.00325,0.393
3060000,3,1.10704,-803.898,1.93024,2.04731,0.409923
3070000,2,-3.11749,-814.487,3.31735,2.03254,0.431
3080000,3,-1.98883,-803.601,2.79834,1.97252,0.399
3090000,4,2.02124,-800.211,5.94404,2.03045,0.403444
3100000,3,-0.439313,-801.983,2.8543,1.99083,0.382
3110000,3,0.734752,-804.931,2.87993,2.07821,0.395
3120000,6,-0.526069,-805.135,8.55612,2.04466,0.420538
3130000,3,-0.847603,-798.745,2.31867,2.10252,0.379
3140000,5,-1.03835,-801.918,2.25993,2.12038,0.407833
3150000,6,1.33691,-795.999,4.85161,2.06266,0.359
3160000,6,-0.680639,-799.692,9.01421,1.99631,0.424
3170000,7,3.34623,-796.068,11.1275,2.01847,0.428667
3180000,3,0.0675547,-804.021,8.4087,2.21399,0.411
3190000,4,1.06261,-800.803,6.08491,2.12942,0.4
3200000,3,-0.814553,-807.667,3.55039,2.22765,0.416
3210000,6,0.0563486,-808.739,8.04263,2.01677,0.415
3220000,4,-1.78137,-797.754,3.69716,2.07447,0.4223
3230000,2,-3.22798,-804.943,0.938656,2.0314,0.372333
3240000,2,-1.55024,-809.017,3.37262,2.13436,0.36
3250000,5,2.22347,-811.898,7.74203,2.05568,0.3945
3260000,4,-0.773349,-797.935,5.60832,2.06749,0.40175
3270000,2,-2.83427,-810.92,2.33975,2.02189,0.3981
3280000,6,2.28637,-798.832,3.29471,2.03431,0.419
3290000,4,-1.23305,-801.164,3.34373,2.05117,0.438
3300000,5,1.39859,-800.884,3.71821,2.0379,0.44
3310000,3,-1.23812,-806.866,3.59304,2.02468,0.402
3320000,3,-0.664813,-807.578,5.01753,1.98694,0.362
3330000,3,-2.26932,-808.576,5.25054,2.24417,0.394
3340000,3,0.709079,-801.982,3.06416,2.05227,0.411
3350000,4,1.19594,-799.591,7.38004,2.05915,0.4002
3360000,4,-3.38918,-795.187,2.99265,2.09852,0.397
3370000,5,1.10057,-798.946,5.54913,2.07257,0.393667
3380000,4,2.86994,-806.051,5.12134,2.05918,0.386
3390000,4,-0.997955,-800.779,4.78098,2.11207,0.385
3400000,9,-1.65494,-790.351,9.08625,2.00134,0.43
3410000,4,-3.2224,-798.524,11.7023,2.13624,0.389
3420000,3,-3.66713,-798.848,1.39305,2.11686,0.404846
3430000,6,-2.59015,-795.039,6.50671,2.08561,0.404
3440000,4,-0.122534,-799.865,7.5131,2.09775,0.437
3450000,2,-2.93523,-808.054,1.64305,2.11617,0.388
3460000,4,-2.30384,-806.131,4.51803,2.09178,0.393889
3470000,3,-0.526254,-804.132,3.75327,2.05396,0.401
3480000,4,-0.260079,-799.814,2.62647,2.04049,0.3974
3490000,5,-1.73315,-803.044,11.497,2.00358,0.407
3500000,2,0.345504,-816.166,3.37213,2.09706,0.346
3510000,1,-1.81022,-815.169,4.50186,2.04204,0.360333
3520000,2,-1.82921,-806.355,3.42841,2.13295,0.359
3530000,1,-1.91085,-810.984,2.16557,2.02041,0.353667
3540000,2,-4.24267,-811.652,0.610039,2.09819,0.395
3550000,4,2.0895,-809.155,9.00834,2.08301,0.3714
3560000,4,-3.52883,-802.116,7.4754,1.99847,0.422
3570000,4,-4.43576,-798.229,7.23249,2.01581,0.4035
3580000,5,-4.30237,-793.153,3.67519,2.00814,0.379
3590000,7,-1.05683,-799.122,9.3909,1.93449,0.395
3600000,6,0.285149,-793.271,7.34718,2.066,0.428643
3610000,3,-0.325021,-807.227,1.95273,2.04839,0.382
3620000,2,-0.664839,-811.456,2.08464,2.06252,0.422
3630000,3,-0.345658,-804.906,5.63644,2.07197,0.361
3640000,5,3.84079,-802.552,3.10298,2.04173,0.426
3650000,3,-0.579209,-806.072,4.49548,2.02503,0.407
3660000,5,1.77458,-803.68,4.65591,2.03145,0.425
3670000,5,-4.0404,-793.721,5.76663,2.1405,0.424281
3680000,10,5.74296,-807.042,10.7568,2.07853,0.435333
3690000,5,1.45412,-803.936,6.74847,2.07825,0.418364
3700000,4,-0.162703,-803.477,5.73601,1.9885,0.4385
3710000,7,-4.41988,-795.47,3.58735,2.15631,0.42
3720000,5,-1.81642,-801.151,5.90822,2.13164,0.416
3730000,5,0.997545,-800.307,3.16471,2.09942,0.422
3740000,8,0.161569,-800.001,3.89075,2.03809,0.407
3750000,7,-0.34609,-797.348,6.7013,2.10114,0.426
3760000,4,1.19297,-799.697,6.06954,1.99983,0.426
3770000,3,-4.99404,-803.451,3.66576,2.04462,0.424
3780000,1,-3.02542,-811.094,1.37242,2.06057,0.34475
3790000,3,0.357147,-809.55,2.00507,2.12265,0.395
3800000,4,1.00798,-801.593,4.79408,1.94736,0.368
3810000,2,-2.79064,-808.926,7.22975,2.02135,0.367
3820000,4,1.20913,-811.425,4.55382,1.96756,0.411
3830000,2,-1.38161,-809.408,5.0358,2.11677,0.377
3840000,2,-3.61761,-808.733,4.65294,2.11601,0.384
3850000,4,-0.746012,-805.648,1.97077,2.10182,0.383
3860000,1,-1.88482,-818.454,3.03392,2.00253,0.346
3870000,3,0.601679,-803.94,2.75934,1.99914,0.369
3880000,3,-4.67902,-804.743,3.59515,2.10521,0.3785
3890000,3,-1.7481,-809.81,1.79594,2.14764,0.36275
3900000,3,0.631063,-806.889,2.89582,1.9649,0.366333
3910000,3,-1.38463,-800.703,3.98026,2.13067,0.41
3920000,6,-0.632403,-793.82,7.81736,2.09753,0.462
3930000,4,-3.27252,-796.592,7.61241,2.08539,0.3882
3940000,5,0.42322,-797.606,8.51696,1.99731,0.4143
3950000,5,1.95226,-802.734,3.33461,2.15023,0.3822
3960000,5,0.419528,-797.658,1.54239,2.10957,0.424857
3970000,3,-0.700232,-800.025,2.66156,2.10407,0.3875
3980000,8,-2.13902,-794.832,7.59065,2.06502,0.425
3990000,7,4.9676,-797.58,7.69837,2.05137,0.383
4000000,3,-2.07797,-804.223,3.84521,2.04787,0.388333
4010000,2,-2.99509,-810.889,4.74839,2.05957,0.355
4020000,4,-3.29852,-802.73,3.59808,2.0481,0.392
4030000,2,-1.07503,-811.969,2.69269,2.08206,0.416556
4040000,3,0.995203,-809.975,2.34301,1.98984,0.386
4050000,4,1.21617,-799.551,4.03224,2.1193,0.404
4060000,2,0.824732,-808.353,2.24081,1.98278,0.369
4070000,2,0.768152,-810.174,2.49735,2.0652,0.387
4080000,1,-4.72722,-810.808,0.587107,2.05143,0.36
4090000,3,-1.97054,-808.886,1.86093,2.17884,0.384
4100000,3,-2.50342,-800.296,2.29065,2.12282,0.399
4110000,3,-3.89233,-804.058,6.81272,1.96484,0.386
4120000,3,1.96052,-805.026,4.78379,2.05624,0.433
4130000,1,-1.77761,-818.941,0.927023,2.18892,0.332
4140000,4,-2.87175,-798.261,8.02895,2.07032,0.401
4150000,1,-0.831473,-815.825,1.02061,2.19497,0.364333
4160000,5,2.87074,-795.344,4.88305,2.08363,0.446
4170000,2,-5.38745,-805.419,3.54532,2.08819,0.416556
4180000,2,-1.2993,-806.892,1.32846,2.1051,0.379
4190000,1,-2.60802,-811.83,1.90759,2.07858,0.385417
4200000,5,2.04225,-796.655,3.8862,1.97422,0.405
4210000,5,1.32835,-795.572,4.77599,2.13589,0.4188
4220000,6,4.00259,-794.28,5.16513,2.08026,0.473
4230000,4,-8.09782,-804.976,9.0133,2.07519,0.425889
4240000,8,2.01187,-798.543,6.98796,2.14575,0.436
4250000,4,-8.71841,-802.386,3.48306,2.09604,0.40525
4260000,1,-2.04037,-809.853,0.456142,2.06494,0.3665
4270000,6,-3.98673,-803.358,5.19536,2.20366,0.406625
4280000,2,-1.64017,-809.738,4.41877,1.99827,0.427143
4290000,3,-0.724728,-808.918,4.00143,2.00159,0.403
4300000,4,-1.01475,-795.671,2.90379,2.06171,0.399
4310000,3,-1.08761,-802.395,4.52866,2.07375,0.404
4320000,3,1.16143,-807.932,0.99628,2.03676,0.395611
4330000,3,1.28255,-806.02,2.78823,2.10487,0.353
4340000,5,2.54723,-807.131,3.30541,2.01694,0.405737
4350000,3,-8.80168,-802.044,7.0867,2.06943,0.394
4360000,4,-0.684773,-797.048,5.28492,2.05781,0.378
4370000,1,-4.53189,-815.722,1.73363,2.20604,0.39425
4380000,4,-1.20217,-803.003,5.70108,2.05237,0.411
4390000,3,0.387878,-805.01,3.55535,2.0627,0.400429
4400000,2,-2.34085,-808.597,3.14116,2.06599,0.383667
4410000,7,-1.78745,-808.293,6.12248,2.00445,0.472
4420000,6,-2.39458,-792.709,5.35499,2.14767,0.42825
4430000,3,-3.43685,-809.5,4.45256,2.01637,0.3876
4440000,4,3.48295,-801.854,2.95925,2.14919,0.437
4450000,2,-1.46659,-809.256,3.81247,2.05307,0.3956
4460000,3,-1.99399,-802.924,1.86129,2.12048,0.4
4470000,8,-0.960067,-794.328,9.77331,2.06298,0.413769
4480000,3,-1.05633,-805.289,4.01046,2.01915,0.404
4490000,2,-0.158876,-813.842,1.79258,1.98145,0.361333
