generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
2210000,1,0.227619,-813.666,0.0400973,1.99668,0.342
2220000,1,2.45738,-814.982,0.0288575,1.99134,0.3635
2230000,1,2.56951,-810.63,0.032076,2.08903,0.346
2240000,1,4.01353,-815.486,0.00398571,2.18085,0.343
2250000,1,4.36391,-812.77,0.0145263,2.03478,0.335667
2260000,1,4.52258,-813.117,0.0134069,2.01397,0.344545
2270000,1,0.34115,-813.662,0.0349331,2.11336,0.3455
2280000,1,4.29808,-812.082,0.00359727,1.99177,0.342
2290000,1,1.533,-811.795,0.0391807,2.10209,0.3508
2300000,1,5.507,-817.027,0.00340284,1.92327,0.342667
2310000,1,3.92996,-811.348,0.0152169,2.10642,0.351
2320000,1,3.54405,-812.75,0.0252059,2.08982,0.365
2330000,1,2.11742,-812.919,0.0314694,2.08486,0.34925
2340000,1,3.8915,-815.6,0.00629507,2.08874,0.352687
2350000,1,0.969061,-813.165,0.0386735,2.15608,0.351
2360000,1,4.34363,-811.97,0.00676187,2.02275,0.35
2370000,1,4.23345,-811.698,0.0123546,2.06938,0.365
2380000,1,-0.374814,-812.371,0.0495374,2.139,0.346
2390000,1,0.592055,-812.089,0.0405558,2.11952,0.322
2400000,1,3.06376,-814.301,0.0314492,2.12311,0.36
2410000,1,2.62727,-814.907,0.0191402,2.12674,0.339
2420000,1,5.23036,-815.453,0.0107836,2.1177,0.358
2430000,1,-1.29233,-816.132,0.0368864,2.0132,0.3398
2440000,1,0.171886,-811.872,0.0432982,2.06087,0.324
2450000,1,-1.52358,-811.444,0.00803639,2.00741,0.346
2460000,1,4.44201,-813.711,0.00332624,2.20763,0.348333
2470000,1,2.1913,-811.218,0.0199445,2.10156,0.348357
2480000,1,2.31838,-815.166,0.0208642,2.04239,0.349
2490000,1,0.783642,-812.115,0.0184824,2.03138,0.263
2500000,1,3.48146,-810.87,0.0142189,2.04616,0.342429
2510000,1,4.68187,-813.166,0.0114367,2.00869,0.339
2520000,1,2.95852,-814.299,0.0283326,1.96123,0.357
2530000,1,3.07888,-812.388,0.0155736,2.08675,0.351
2540000,1,1.22879,-810.888,0.011646,1.98658,0.349333
2550000,1,2.25691,-813.441,0.0312514,2.21144,0.323
2560000,1,2.60556,-811.577,0.0177186,2.09823,0.364
2570000,0,4.82237,-826.46,0.0100481,1.99255,0.19
2580000,1,0.689354,-816.106,0.0296576,1.9776,0.396
2590000,1,3.09162,-811.97,0.0207577,2.07848,0.36275
2600000,1,0.324999,-813.513,0.0515458,2.08054,0.3535
2610000,1,2.5637,-813.074,0.0317556,2.05663,0.347
2620000,1,3.3618,-816.545,0.0255723,2.1937,0.315
2630000,1,3.23009,-813.554,0.0159962,2.0621,0.363
2640000,1,3.47626,-814.774,0.0293511,1.99712,0.343333
2650000,1,2.26815,-812.216,0.0202893,2.00324,0.346846
2660000,1,2.71639,-811.108,0.0172118,2.01463,0.347
2670000,1,4.91474,-815.498,0.00349005,2.25262,0.345
2680000,1,2.16171,-815.571,0.0302156,2.02644,0.291
2690000,1,4.10734,-812.608,0.00488903,1.9951,0.336
2700000,1,0.781726,-814.808,0.0370389,2.05161,0.345652
2710000,1,1.36913,-811.269,0.0431757,2.0295,0.343
2720000,1,1.57529,-812.787,0.0262099,2.15157,0.354391
2730000,1,1.02332,-813.003,0.0350023,2.09871,0.337
2740000,1,3.67402,-816.118,0.0277733,2.08934,0.328
2750000,1,3.05931,-818.527,0.0073321,2.00237,0.3645
2760000,1,3.211,-812.272,0.018362,2.10416,0.333
2770000,1,1.61536,-812.118,0.031715,2.03595,0.292
2780000,1,4.7647,-812.78,0.0136967,2.13793,0.3491
2790000,1,2.16565,-810.654,0.0293912,2.05881,0.338
2800000,1,4.70437,-815.082,0.0174482,2.16382,0.282
2810000,1,3.49955,-812.552,0.014707,2.00678,0.336
2820000,1,5.38414,-815.465,0.0126543,1.95112,0.3414
2830000,1,4.35243,-812.341,0.00709119,2.08055,0.339333
